                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.88953,                 1.5259,                0.77062,                 1.1936,                0.85641,                0.87355,                0.92836,                0.72646,                0.85566,                0.82775,                0.86232,                0.47405,                0.78442,                 1.2364,                0.68605,                 1.0719,             0.00055142,             0.00055142,             0.00055142
                     72,                0.86587,                 1.4777,                0.74607,                 1.1876,                0.89134,                0.87725,                0.93859,                0.72862,                0.86821,                0.85748,                 0.9027,                0.51093,                0.77558,                 1.1762,                0.65858,                 1.0714,             0.00054907,             0.00054907,             0.00054907
                     73,                0.89008,                  1.419,                 0.7924,                 1.1906,                0.84707,                0.87924,                 0.9239,                0.72378,                0.83064,                 0.8541,                 0.8891,                0.49615,                0.77002,                 1.1902,                0.65199,                 1.0706,             0.00054671,             0.00054671,             0.00054671
                     74,                0.86197,                 1.4887,                0.75593,                 1.1882,                0.83904,                0.88439,                 0.9269,                0.72578,                0.88769,                0.80481,                0.88283,                0.50463,                0.76254,                 1.1714,                0.64636,                 1.0658,             0.00054435,             0.00054435,             0.00054435
                     75,                0.87561,                 1.4722,                0.75648,                  1.192,                0.87831,                0.87834,                0.93132,                0.73219,                0.86116,                0.84043,                0.88018,                0.49651,                 0.7569,                 1.1763,                 0.6333,                  1.069,               0.000542,               0.000542,               0.000542
                     76,                0.87814,                 1.5072,                0.74288,                 1.1796,                0.81838,                0.90757,                0.91973,                 0.7275,                0.78912,                  0.864,                0.86306,                 0.4843,                0.75043,                 1.1747,                0.65429,                 1.0648,             0.00053964,             0.00053964,             0.00053964
                     77,                0.84797,                 1.4735,                0.74666,                 1.1805,                0.82208,                0.86756,                0.91431,                0.72718,                0.81267,                 0.8436,                0.87489,                0.49523,                0.75515,                 1.1664,                0.65012,                 1.0588,             0.00053728,             0.00053728,             0.00053728
                     78,                 0.8831,                 1.4891,                0.77346,                 1.2017,                0.85658,                0.86029,                0.92946,                0.72918,                0.82866,                0.83234,                0.87658,                 0.4864,                0.76503,                 1.1926,                0.64026,                 1.0672,             0.00053493,             0.00053493,             0.00053493
                     79,                0.84969,                 1.5237,                0.72459,                 1.1779,                0.86769,                0.88761,                0.93495,                0.72486,                 0.8449,                0.86766,                0.89186,                 0.5013,                0.75739,                 1.1652,                0.64565,                 1.0638,             0.00053257,             0.00053257,             0.00053257
                     80,                0.87281,                 1.4948,                0.76851,                 1.1937,                0.90697,                0.89398,                0.95077,                0.75778,                0.87258,                 0.8581,                0.89435,                0.51309,                0.73081,                 1.1342,                0.63034,                 1.0508,             0.00053022,             0.00053022,             0.00053022
                     81,                0.81187,                 1.4138,                0.70228,                 1.1583,                0.90365,                0.91568,                0.96375,                0.76926,                0.88382,                 0.8954,                0.93097,                0.53425,                0.70176,                 1.0897,                0.60072,                 1.0286,             0.00052786,             0.00052786,             0.00052786
                     82,                0.84511,                 1.4898,                 0.7456,                 1.1829,                0.90193,                0.92389,                0.97104,                0.77796,                0.88268,                0.90469,                0.93261,                0.54188,                0.71546,                 1.0969,                0.58919,                 1.0357,              0.0005255,              0.0005255,              0.0005255
                     83,                0.83765,                 1.4653,                0.70935,                 1.1447,                0.92562,                0.93476,                0.97477,                0.78161,                0.89956,                0.88929,                0.90911,                0.52708,                0.71569,                 1.1184,                0.59404,                 1.0351,             0.00052315,             0.00052315,             0.00052315
                     84,                0.84077,                 1.4579,                0.72802,                 1.1603,                0.84821,                0.91583,                0.94007,                0.75081,                0.81777,                0.87985,                0.88254,                0.50001,                0.71739,                 1.1175,                0.61017,                 1.0301,             0.00052079,             0.00052079,             0.00052079
                     85,                0.82981,                 1.3812,                0.72607,                 1.1834,                0.91562,                0.88766,                0.95595,                0.76719,                0.89274,                0.87025,                0.91736,                0.52293,                0.69758,                 1.0946,                  0.594,                 1.0127,             0.00051844,             0.00051844,             0.00051844
                     86,                0.82333,                 1.4302,                0.71604,                 1.1496,                0.86718,                0.91059,                0.95392,                0.75507,                0.85589,                 0.8916,                0.92931,                0.52695,                0.71123,                 1.0976,                0.61306,                 1.0254,             0.00051608,             0.00051608,             0.00051608
                     87,                0.79517,                 1.3985,                0.66955,                 1.1331,                0.89325,                0.90096,                0.96476,                0.77771,                0.92863,                0.85283,                0.93314,                0.52855,                0.70331,                 1.1076,                0.59097,                 1.0251,             0.00051372,             0.00051372,             0.00051372
                     88,                0.84666,                  1.443,                0.73516,                 1.1805,                0.91782,                0.93506,                0.97887,                0.79016,                0.91715,                0.90813,                0.95792,                0.54288,                0.69494,                 1.0959,                0.57804,                 1.0147,             0.00051137,             0.00051137,             0.00051137
                     89,                0.82376,                 1.4622,                0.70001,                 1.1668,                0.94196,                0.92031,                0.97317,                0.78919,                0.93698,                  0.915,                0.96157,                0.55104,                0.70426,                 1.0577,                0.57061,                 1.0172,             0.00050901,             0.00050901,             0.00050901
                     90,                0.84443,                 1.4089,                0.71399,                   1.15,                0.89197,                  0.925,                 0.9617,                 0.7742,                0.87977,                0.91205,                0.93958,                0.52487,                0.69742,                 1.0694,                0.58424,                 1.0137,             0.00050665,             0.00050665,             0.00050665
                     91,                0.79589,                 1.3549,                 0.6587,                 1.1119,                0.92204,                0.90849,                0.96703,                0.78507,                0.90584,                0.89277,                0.94235,                0.53983,                0.67814,                  1.054,                0.56959,                0.99899,              0.0005043,              0.0005043,              0.0005043
                     92,                0.77344,                 1.2978,                0.66832,                 1.1308,                 0.9429,                0.90082,                0.97507,                0.78726,                0.92925,                0.88664,                0.94751,                0.54711,                 0.6889,                 1.0552,                0.55421,                 1.0053,             0.00050194,             0.00050194,             0.00050194
                     93,                0.83212,                 1.4215,                0.72838,                 1.1622,                0.94161,                0.88527,                0.97192,                0.78127,                0.93601,                 0.8764,                0.95575,                0.55899,                0.69441,                 1.0315,                 0.5487,                 1.0054,             0.00049959,             0.00049959,             0.00049959
                     94,                0.83462,                 1.4128,                0.69443,                 1.1515,                 0.9124,                0.90434,                 0.9634,                0.79164,                0.90592,                0.89491,                0.94511,                0.55886,                0.67441,                 1.0411,                0.55697,                 1.0014,             0.00049723,             0.00049723,             0.00049723
                     95,                0.78709,                 1.3614,                0.65912,                 1.1315,                0.93693,                0.88465,                0.96288,                0.79452,                0.92996,                0.87794,                0.94022,                0.56292,                0.66348,                 1.0228,                0.54965,                0.98984,             0.00049487,             0.00049487,             0.00049487
                     96,                 0.7861,                 1.3192,                0.63518,                 1.1125,                 0.9244,                0.91532,                0.96811,                0.79108,                0.91818,                0.90831,                0.95512,                0.57045,                0.67091,                 1.0487,                0.55736,                 1.0003,             0.00049252,             0.00049252,             0.00049252
                     97,                0.76885,                 1.3199,                0.63401,                 1.1004,                0.92931,                0.89715,                0.96514,                0.79484,                0.92383,                 0.8897,                0.95095,                0.57838,                0.65237,                 1.0124,                0.54561,                0.98664,             0.00049016,             0.00049016,             0.00049016
                     98,                0.81518,                 1.3903,                0.68486,                 1.1728,                0.92455,                0.94041,                0.96537,                 0.7989,                0.89687,                0.91851,                0.93722,                0.55577,                0.65841,                 1.0383,                0.53945,                0.98551,              0.0004878,              0.0004878,              0.0004878
                     99,                0.78552,                 1.3504,                0.65231,                 1.1243,                0.92325,                0.93321,                0.97117,                0.80655,                0.91708,                0.89999,                 0.9446,                 0.5708,                0.64514,                 1.0228,                0.53024,                0.98034,             0.00048545,             0.00048545,             0.00048545
                    100,                0.75755,                 1.3521,                0.62547,                 1.1083,                0.93605,                0.91826,                0.96877,                0.79791,                0.92466,                0.90815,                 0.9535,                0.56966,                0.65981,                 1.0136,                0.54618,                 0.9928,             0.00048309,             0.00048309,             0.00048309
                    101,                0.75584,                 1.2972,                0.63871,                 1.1037,                0.91549,                0.90177,                0.96724,                0.79515,                0.89937,                0.88162,                0.93191,                0.53681,                0.66415,                 1.0672,                0.54381,                 0.9939,             0.00048074,             0.00048074,             0.00048074
                    102,                0.77668,                 1.3206,                0.64438,                 1.1387,                0.92928,                0.92665,                0.97575,                0.81063,                0.92503,                0.92076,                0.96202,                0.57791,                0.63341,                 1.0044,                0.51434,                0.97404,             0.00047838,             0.00047838,             0.00047838
